21/07/2013 22:49:01.420594 [scalapnt_fractal_1000_cellbound_heuristic] BEGIN_TRANSACTION
21/07/2013 22:49:09.256770 [scalapnt_fractal_1000_cellbound_heuristic] initialized
21/07/2013 22:49:09.257126 [scalapnt_fractal_1000_cellbound_heuristic] solver "heuristic"
21/07/2013 22:49:09.257451 [scalapnt_fractal_1000_cellbound_heuristic] constraints "cellbound(16,)"
21/07/2013 22:49:09.259743 [scalapnt_fractal_1000_cellbound_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 491.64901058888063, 'total_recs': 1000L}
21/07/2013 22:49:09.262782 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 9
21/07/2013 22:49:09.449694 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 9
21/07/2013 22:49:09.479959 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 9
21/07/2013 22:49:09.481237 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 9
21/07/2013 22:49:09.483831 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 8
21/07/2013 22:49:09.495006 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 8
21/07/2013 22:49:09.496707 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 8
21/07/2013 22:49:09.497845 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 8
21/07/2013 22:49:09.500314 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 7
21/07/2013 22:49:09.509579 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 7
21/07/2013 22:49:09.510529 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 7
21/07/2013 22:49:09.511730 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 7
21/07/2013 22:49:09.514231 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 6
21/07/2013 22:49:09.524425 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 6
21/07/2013 22:49:09.526155 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 6
21/07/2013 22:49:09.527329 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 6
21/07/2013 22:49:09.529770 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 5
21/07/2013 22:49:09.538963 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 5
21/07/2013 22:49:09.540816 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 5
21/07/2013 22:49:09.542046 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 5
21/07/2013 22:49:09.544831 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 4
21/07/2013 22:49:09.552199 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 4
21/07/2013 22:49:09.553143 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 4
21/07/2013 22:49:09.554384 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 4
21/07/2013 22:49:09.556875 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 3
21/07/2013 22:49:09.565029 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 3
21/07/2013 22:49:09.566892 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 3
21/07/2013 22:49:09.568124 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 3
21/07/2013 22:49:09.570842 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 2
21/07/2013 22:49:09.577914 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 2
21/07/2013 22:49:09.579596 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 2
21/07/2013 22:49:09.580842 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 2
21/07/2013 22:49:09.583379 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 1
21/07/2013 22:49:09.588967 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 1
21/07/2013 22:49:09.589955 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 1
21/07/2013 22:49:09.591247 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 1
21/07/2013 22:49:09.594033 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 0
21/07/2013 22:49:09.600704 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 0
21/07/2013 22:49:09.602479 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 0
21/07/2013 22:49:09.603733 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 0
21/07/2013 22:49:09.684502 [scalapnt_fractal_1000_cellbound_heuristic] COMMIT
21/07/2013 22:49:09.685001 [scalapnt_fractal_1000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 22:49:15.612806 [scalapnt_fractal_1000_proximity_heuristic] initialized
21/07/2013 22:49:15.613179 [scalapnt_fractal_1000_proximity_heuristic] solver "heuristic"
21/07/2013 22:49:15.613495 [scalapnt_fractal_1000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 22:49:15.615319 [scalapnt_fractal_1000_proximity_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 501.40371637651697, 'total_recs': 1000L}
21/07/2013 22:49:15.617840 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 9
21/07/2013 22:49:15.729813 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 9
21/07/2013 22:49:15.839789 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 9
21/07/2013 22:49:15.841136 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 9
21/07/2013 22:49:15.843680 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 8
21/07/2013 22:49:15.851857 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 8
21/07/2013 22:49:15.855301 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 8
21/07/2013 22:49:15.856465 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 8
21/07/2013 22:49:15.858929 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 7
21/07/2013 22:49:15.864516 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 7
21/07/2013 22:49:15.866378 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 7
21/07/2013 22:49:15.867536 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 7
21/07/2013 22:49:15.869981 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 6
21/07/2013 22:49:15.873501 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 6
21/07/2013 22:49:15.874919 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 6
21/07/2013 22:49:15.876094 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 6
21/07/2013 22:49:15.878505 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 5
21/07/2013 22:49:15.880607 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 5
21/07/2013 22:49:15.881856 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 5
21/07/2013 22:49:15.883032 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 5
21/07/2013 22:49:15.885564 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 4
21/07/2013 22:49:15.887582 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 4
21/07/2013 22:49:15.888501 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 4
21/07/2013 22:49:15.889666 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 4
21/07/2013 22:49:15.892197 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 3
21/07/2013 22:49:15.894012 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 3
21/07/2013 22:49:15.894970 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 3
21/07/2013 22:49:15.896139 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 3
21/07/2013 22:49:15.898729 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 2
21/07/2013 22:49:15.900930 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 2
21/07/2013 22:49:15.902205 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 2
21/07/2013 22:49:15.903383 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 2
21/07/2013 22:49:15.905868 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 1
21/07/2013 22:49:15.907695 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 1
21/07/2013 22:49:15.908630 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 1
21/07/2013 22:49:15.909798 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 1
21/07/2013 22:49:15.912333 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 0
21/07/2013 22:49:15.914870 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 0
21/07/2013 22:49:15.916111 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 0
21/07/2013 22:49:15.917349 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 0
21/07/2013 22:49:15.972250 [scalapnt_fractal_1000_proximity_heuristic] COMMIT
21/07/2013 22:49:15.972774 [scalapnt_fractal_1000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 22:49:21.883678 [scalapnt_fractal_1000_cellbound_lp] initialized
21/07/2013 22:49:21.884035 [scalapnt_fractal_1000_cellbound_lp] solver "lp"
21/07/2013 22:49:21.884344 [scalapnt_fractal_1000_cellbound_lp] constraints "cellbound(16,)"
