21/07/2013 16:25:10.470758 [scalapnt_fractal_1000_cellbound_heuristic] BEGIN_TRANSACTION
21/07/2013 16:25:18.352327 [scalapnt_fractal_1000_cellbound_heuristic] initialized
21/07/2013 16:25:18.352699 [scalapnt_fractal_1000_cellbound_heuristic] solver "heuristic"
21/07/2013 16:25:18.353017 [scalapnt_fractal_1000_cellbound_heuristic] constraints "cellbound(16,)"
21/07/2013 16:25:18.355325 [scalapnt_fractal_1000_cellbound_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 498.04106021858752, 'total_recs': 1000L}
21/07/2013 16:25:18.358422 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 9
21/07/2013 16:25:18.548430 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 9
21/07/2013 16:25:18.578280 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 9
21/07/2013 16:25:18.579551 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 9
21/07/2013 16:25:18.582358 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 8
21/07/2013 16:25:18.593744 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 8
21/07/2013 16:25:18.595473 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 8
21/07/2013 16:25:18.596677 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 8
21/07/2013 16:25:18.599216 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 7
21/07/2013 16:25:18.608772 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 7
21/07/2013 16:25:18.609725 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 7
21/07/2013 16:25:18.610924 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 7
21/07/2013 16:25:18.613438 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 6
21/07/2013 16:25:18.623811 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 6
21/07/2013 16:25:18.625586 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 6
21/07/2013 16:25:18.626804 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 6
21/07/2013 16:25:18.629328 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 5
21/07/2013 16:25:18.638779 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 5
21/07/2013 16:25:18.640757 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 5
21/07/2013 16:25:18.642020 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 5
21/07/2013 16:25:18.644690 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 4
21/07/2013 16:25:18.652533 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 4
21/07/2013 16:25:18.653504 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 4
21/07/2013 16:25:18.654723 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 4
21/07/2013 16:25:18.657416 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 3
21/07/2013 16:25:18.665631 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 3
21/07/2013 16:25:18.667430 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 3
21/07/2013 16:25:18.668685 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 3
21/07/2013 16:25:18.671231 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 2
21/07/2013 16:25:18.678459 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 2
21/07/2013 16:25:18.680165 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 2
21/07/2013 16:25:18.681403 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 2
21/07/2013 16:25:18.683922 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 1
21/07/2013 16:25:18.689617 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 1
21/07/2013 16:25:18.690566 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 1
21/07/2013 16:25:18.691797 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 1
21/07/2013 16:25:18.694434 [scalapnt_fractal_1000_cellbound_heuristic] initialized_level 0
21/07/2013 16:25:18.700779 [scalapnt_fractal_1000_cellbound_heuristic] found_conflicts 0
21/07/2013 16:25:18.702608 [scalapnt_fractal_1000_cellbound_heuristic] resolved_conflicts 0
21/07/2013 16:25:18.703849 [scalapnt_fractal_1000_cellbound_heuristic] finalized_level 0
21/07/2013 16:25:18.871796 [scalapnt_fractal_1000_cellbound_heuristic] COMMIT
21/07/2013 16:25:18.872270 [scalapnt_fractal_1000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 16:25:24.804011 [scalapnt_fractal_1000_proximity_heuristic] initialized
21/07/2013 16:25:24.804371 [scalapnt_fractal_1000_proximity_heuristic] solver "heuristic"
21/07/2013 16:25:24.804702 [scalapnt_fractal_1000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 16:25:24.806512 [scalapnt_fractal_1000_proximity_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 494.24558696011081, 'total_recs': 1000L}
21/07/2013 16:25:24.809104 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 9
21/07/2013 16:25:24.922230 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 9
21/07/2013 16:25:25.032866 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 9
21/07/2013 16:25:25.034189 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 9
21/07/2013 16:25:25.036760 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 8
21/07/2013 16:25:25.045181 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 8
21/07/2013 16:25:25.048718 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 8
21/07/2013 16:25:25.049859 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 8
21/07/2013 16:25:25.052488 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 7
21/07/2013 16:25:25.057378 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 7
21/07/2013 16:25:25.059159 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 7
21/07/2013 16:25:25.060291 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 7
21/07/2013 16:25:25.062915 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 6
21/07/2013 16:25:25.066147 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 6
21/07/2013 16:25:25.067524 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 6
21/07/2013 16:25:25.068694 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 6
21/07/2013 16:25:25.071103 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 5
21/07/2013 16:25:25.072901 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 5
21/07/2013 16:25:25.073835 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 5
21/07/2013 16:25:25.074987 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 5
21/07/2013 16:25:25.077613 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 4
21/07/2013 16:25:25.079589 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 4
21/07/2013 16:25:25.080528 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 4
21/07/2013 16:25:25.081691 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 4
21/07/2013 16:25:25.084089 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 3
21/07/2013 16:25:25.085889 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 3
21/07/2013 16:25:25.086833 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 3
21/07/2013 16:25:25.087995 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 3
21/07/2013 16:25:25.090463 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 2
21/07/2013 16:25:25.092666 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 2
21/07/2013 16:25:25.093934 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 2
21/07/2013 16:25:25.095149 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 2
21/07/2013 16:25:25.097774 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 1
21/07/2013 16:25:25.099563 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 1
21/07/2013 16:25:25.100513 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 1
21/07/2013 16:25:25.101723 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 1
21/07/2013 16:25:25.104249 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 0
21/07/2013 16:25:25.106761 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 0
21/07/2013 16:25:25.108029 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 0
21/07/2013 16:25:25.109231 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 0
21/07/2013 16:25:25.167686 [scalapnt_fractal_1000_proximity_heuristic] COMMIT
21/07/2013 16:25:25.168191 [scalapnt_fractal_1000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 16:25:31.087184 [scalapnt_fractal_1000_cellbound_lp] initialized
21/07/2013 16:25:31.087546 [scalapnt_fractal_1000_cellbound_lp] solver "lp"
21/07/2013 16:25:31.087862 [scalapnt_fractal_1000_cellbound_lp] constraints "cellbound(16,)"
