21/07/2013 16:24:43.908384 [scalalin_riversandstreams_1000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 16:24:44.587699 [scalalin_riversandstreams_1000_proximity_heuristic] initialized
21/07/2013 16:24:44.588058 [scalalin_riversandstreams_1000_proximity_heuristic] solver "heuristic"
21/07/2013 16:24:44.588367 [scalalin_riversandstreams_1000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 16:24:44.642815 [scalalin_riversandstreams_1000_proximity_heuristic] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 1000) t', 'total_rank': 113991.67158124903, 'total_recs': 1000L}
21/07/2013 16:24:44.645711 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 9
21/07/2013 16:40:10.546264 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 9
21/07/2013 16:40:10.677960 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 9
21/07/2013 16:40:10.679498 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 9
21/07/2013 16:40:10.682863 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 8
21/07/2013 16:40:10.929292 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 8
21/07/2013 16:40:10.931151 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 8
21/07/2013 16:40:10.932383 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 8
21/07/2013 16:40:10.940134 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 7
21/07/2013 16:40:11.160670 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 7
21/07/2013 16:40:11.162110 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 7
21/07/2013 16:40:11.163260 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 7
21/07/2013 16:40:11.165633 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 6
21/07/2013 16:40:11.362027 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 6
21/07/2013 16:40:11.363305 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 6
21/07/2013 16:40:11.364454 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 6
21/07/2013 16:40:11.366921 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 5
21/07/2013 16:40:11.539873 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 5
21/07/2013 16:40:11.541373 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 5
21/07/2013 16:40:11.542543 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 5
21/07/2013 16:40:11.544967 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 4
21/07/2013 16:40:11.626418 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 4
21/07/2013 16:40:11.627613 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 4
21/07/2013 16:40:11.628756 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 4
21/07/2013 16:40:11.631188 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 3
21/07/2013 16:40:11.662094 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 3
21/07/2013 16:40:11.663209 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 3
21/07/2013 16:40:11.664359 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 3
21/07/2013 16:40:11.666841 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 2
21/07/2013 16:40:11.671149 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 2
21/07/2013 16:40:11.672076 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 2
21/07/2013 16:40:11.673239 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 2
21/07/2013 16:40:11.675733 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 1
21/07/2013 16:40:11.680023 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 1
21/07/2013 16:40:11.680955 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 1
21/07/2013 16:40:11.682144 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 1
21/07/2013 16:40:11.700320 [scalalin_riversandstreams_1000_proximity_heuristic] initialized_level 0
21/07/2013 16:40:11.704611 [scalalin_riversandstreams_1000_proximity_heuristic] found_conflicts 0
21/07/2013 16:40:11.705537 [scalalin_riversandstreams_1000_proximity_heuristic] resolved_conflicts 0
21/07/2013 16:40:11.706711 [scalalin_riversandstreams_1000_proximity_heuristic] finalized_level 0
21/07/2013 16:40:11.765219 [scalalin_riversandstreams_1000_proximity_heuristic] COMMIT
21/07/2013 16:40:11.765702 [scalalin_riversandstreams_1000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 16:40:12.510433 [scalalin_riversandstreams_1000_cellbound_lp] initialized
21/07/2013 16:40:12.510792 [scalalin_riversandstreams_1000_cellbound_lp] solver "lp"
21/07/2013 16:40:12.511097 [scalalin_riversandstreams_1000_cellbound_lp] constraints "cellbound(16,)"
21/07/2013 16:40:12.566013 [scalalin_riversandstreams_1000_cellbound_lp] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 1000) t', 'total_rank': 113991.67158124903, 'total_recs': 1000L}
21/07/2013 16:40:12.568941 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 9
21/07/2013 16:40:19.621395 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 9
21/07/2013 16:40:20.541024 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 9
21/07/2013 16:40:20.542374 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 9
21/07/2013 16:40:20.544894 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 8
21/07/2013 16:40:24.118336 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 8
21/07/2013 16:40:24.157368 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 8
21/07/2013 16:40:24.158572 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 8
21/07/2013 16:40:24.161058 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 7
21/07/2013 16:40:26.302611 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 7
21/07/2013 16:40:26.318952 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 7
21/07/2013 16:40:26.320143 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 7
21/07/2013 16:40:26.322674 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 6
21/07/2013 16:40:27.813889 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 6
21/07/2013 16:40:27.823910 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 6
21/07/2013 16:40:27.825103 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 6
21/07/2013 16:40:27.827614 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 5
21/07/2013 16:40:28.924771 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 5
21/07/2013 16:40:28.930954 [scalalin_riversandstreams_1000_cellbound_lp] resolved_conflicts 5
21/07/2013 16:40:28.932144 [scalalin_riversandstreams_1000_cellbound_lp] finalized_level 5
21/07/2013 16:40:28.934638 [scalalin_riversandstreams_1000_cellbound_lp] initialized_level 4
21/07/2013 16:40:29.898672 [scalalin_riversandstreams_1000_cellbound_lp] found_conflicts 4
